Reference Frequencies,Frequencies in the Natural Internal Coordinate Basis,Freq in red int coords
218.4116842340411,218.41168423404082,218.4116842340411
218.4354223819608,218.4354322893389,218.43543228930932
316.6870081841638,316.75767678341793,316.7576767180653
316.7037069023651,316.7734424447366,316.77345229392336
316.7913931612742,316.86062069423986,316.860620756951
463.2265655457357,463.22652933987155,463.22656089316087
802.5442256714704,802.5924608372994,802.5924622003591
802.5595930457116,802.6079806544346,802.6078429554394
802.5599687489987,802.6082520563205,802.6082506636716
