Ref. Freq,Natty Freq,Ref - Nat,Redundant Freq,Ref - Redundant,Nat - Redundant
218.4116842340411,218.41168423404082,2.8421709430404007e-13,218.4116842340411,0.0,-2.8421709430404007e-13
218.4354223819608,218.4354322893389,-9.90737811434883e-06,218.43543228930932,-9.907348527349313e-06,2.958699951705057e-11
316.6870081841638,316.75767678341793,-0.07066859925413382,316.7576767180653,-0.07066853390148253,6.535265129059553e-08
316.7037069023651,316.7734424447366,-0.06973554237146118,316.77345229392336,-0.06974539155822868,-9.849186767496576e-06
316.7913931612742,316.86062069423986,-0.06922753296566952,316.860620756951,-0.06922759567680714,-6.271113761613378e-08
463.2265655457357,463.22652933987155,3.620586414854188e-05,463.22656089316087,4.6525748302883585e-06,-3.155328931825352e-05
802.5442256714704,802.5924608372994,-0.048235165829055404,802.5924622003591,-0.04823652888876495,-1.3630597095470876e-06
802.5595930457116,802.6079806544346,-0.04838760872303283,802.6078429554394,-0.048249909727815066,0.00013769899521776097
802.5599687489987,802.6082520563205,-0.048283307321753455,802.6082506636716,-0.04828191467288434,1.3926488691140548e-06
1343.992143109691,1344.020952705869,-0.02880959617800727,1344.0209527045083,-0.028809594817403195,1.3606040738523006e-09
1343.9921439368013,1344.0209534110897,-0.02880947428843683,1344.0209534118549,-0.02880947505354925,-7.651124178664759e-10
1343.9921439368024,1344.0209534112616,-0.028809474459194462,1344.0209534120731,-0.02880947527069111,-8.114966476568952e-10
1570.8040397629927,1570.8040397629973,-4.547473508864641e-12,1570.8040397629873,5.4569682106375694e-12,1.000444171950221e-11
1570.8040415190494,1570.804041519051,-1.5916157281026244e-12,1570.8040415190599,-1.0459189070388675e-11,-8.86757334228605e-12
3034.658474129454,3034.6584741294528,1.3642420526593924e-12,3034.6584741294537,4.547473508864641e-13,-9.094947017729282e-13
3153.784956160567,3153.781080326569,0.00387583399833602,3153.781080328594,0.0038758319733460667,-2.0249899534974247e-09
3153.784956516066,3153.7810807125616,0.0038758035043429118,3153.7810807113838,0.0038758046821385506,1.177795638795942e-09
3153.7849565160673,3153.7810807126,0.003875803467053629,3153.7810807117894,0.0038758042778681556,8.108145266305655e-10
